name,frequency,mean_age
CECILIA,20937,47.5
AGUSTINA,20621,65.2
ROSALIA,20315,58.8
MARIA MAGDALENA,20258,51.2
JUDITH,20184,21.7
LARA,19887,17
MARIA ENCARNACION,19851,56.2
ESTER,19789,35.2
JENNIFER,19429,23.4
SHEILA,19360,21
ESTRELLA,19136,48.9
ADORACION,19106,63.1
AROA,18935,14.3
JUDIT,18906,23.2
MARIA FRANCISCA,18887,56.2
GABRIELA,18547,30.5
BERTA,18452,26.5
ALEXANDRA,17713,23.5
SORAYA,17644,26.7
RUTH,17440,29.2
MARIA MONTSERRAT,17327,51.4
MARIA GLORIA,17118,57.1
MARIA YOLANDA,17042,47.3
MARIA MILAGROS,17007,58.3
CANDELA,16982,8.7
HELENA,16905,19.3
MARIA CONSUELO,16836,56.5
EUGENIA,16026,60
NADIA,15635,23.3
AIDA,15551,27.5
EULALIA,15452,61.6
ERIKA,15374,17.4
HERMINIA,15162,66.5
NAIARA,15045,14.3
ENRIQUETA,14721,68.5
MARIA REMEDIOS,14499,53.2
ELISABETH,14389,31.4
NORA,14335,12.6
MARIA REYES,14147,47.8
ESTELA,14112,24.4
PAOLA,14019,16
MACARENA,13889,27.5
ELSA,13626,22
MARIA ARANZAZU,13403,48.3
TATIANA,13386,29.4
PIEDAD,13312,64
MAR,13303,11.9
GREGORIA,13285,70.7
YAIZA,13244,15.8
FLORENTINA,13243,63.1
MARIA TRINIDAD,13022,49.2
AMAIA,12955,28.7
AINA,12883,11.6
SARAY,12829,17.1
MARIA ESPERANZA,12728,52.6
AURELIA,12690,66.2
ARANZAZU,12689,36.3
AFRICA,12547,27.2
JIMENA,12530,7.6
ITZIAR,12445,28.6
LOLA,12438,8.1
MIRIAN,12286,26.7
AMANDA,12212,22.4
JOANA,12162,33.7
CANDIDA,12111,67.7
MAITE,11906,34.1
LEYRE,11646,11.2
ANA ROSA,11107,45.8
SAGRARIO,11064,64.2
MERCE,11036,54.1
CARIDAD,10936,60.1
RITA,10772,52
ANTONIA MARIA,10734,47.8
MERITXELL,10679,29
DESIREE,10582,20.7
IRIA,10572,15.2
IRIS,10500,17.2
ANE,10439,14.7
MARIA SOL,10401,49.3
KHADIJA,10343,32.3
TOMASA,10173,71.3
MARIA JULIA,10164,53.7
AGUEDA,10163,54.8
MARIA MANUELA,10137,59.5
NEUS,10122,30.3
TEODORA,10081,67.6
MARIA INES,10006,50.6
FELICIDAD,10001,66.8
ROSER,9941,51
ADELINA,9903,64.1
MARIA FERNANDA,9875,43.2
CONSOLACION,9871,59.4
LYDIA,9827,25.8
ELIZABETH,9776,34.2
BENITA,9739,69.9
VIOLETA,9655,27.5
MARIA GRACIA,9621,53.2
ALBA MARIA,9598,19.6
ESMERALDA,9593,38.2
MARIA ASCENSION,9550,56.4
CARME,9519,59.2
FILOMENA,9501,70.1
OLIVIA,9478,19.7
MARIA CANDELARIA,9468,51.9
HORTENSIA,9424,67.6
AMAYA,9314,33.9
CANDELARIA,9301,61.1
ELOISA,9254,59.5
MARIA DOLORS,9190,59.2
ANA CRISTINA,9169,37
MARIA PURIFICACION,9064,60.4
ADELAIDA,9061,60.2
MARIA CARME,8856,56.3
MARCELINA,8748,70.6
ANNA MARIA,8606,49.3
MARIA SAGRARIO,8575,58.6
GISELA,8450,19.2
FLORA,8413,65.7
AZUCENA,8395,44.6
MARIA AURORA,8298,54.5
VISITACION,8292,68.6
ELIA,8230,32.6
ANGELA MARIA,8216,37.6
MARIA PINO,8177,55.1
MICAELA,8168,58.6
JENIFER,8119,24
ELENA MARIA,8116,36.3
IRINA,8114,29.4
ANABEL,8106,25.2
MONSERRAT,8095,44.9
NAYARA,8087,8.2
FERNANDA,8069,62.1
ESTIBALIZ,7989,31.7
MARIA BLANCA,7930,56
IRATI,7794,12.3
REGINA,7769,55.6
SALMA,7743,8.9
NAZARET,7742,18.2
MARIA AUXILIADORA,7683,46.4
YASMINA,7681,19.1
FUENSANTA,7649,56.7
EDURNE,7634,26.7
PAULINA,7607,61.6
ABRIL,7581,6.5
ZAIRA,7565,13.6
LUISA MARIA,7561,44.7
ROSA ANA,7536,41.6
AVELINA,7516,69.5
JANA,7515,12.3
AICHA,7420,40.3
DELIA,7395,45.8
MARIA SOCORRO,7389,62.9
MARIA PALOMA,7386,50.7
MARIA VALLE,7352,48.1
MARTA MARIA,7319,38.6
NAIMA,7291,35.2
VIRTUDES,7240,65.1
MARIA GUADALUPE,7213,50.5
FLORENCIA,7185,65.3
SALVADORA,7134,64.7
MARIA LUCIA,7133,47.4
ARANTXA,7096,25
DOLORS,7029,67.4
MARIA ESTRELLA,7018,53.6
MARIA GEMA,6998,42.6
SEBASTIANA,6978,66.2
DELFINA,6976,68
VERA,6968,12.2
LAURA MARIA,6956,29.1
AINOA,6948,16.3
INMACULADA CONCEPCION,6938,38.9
MARIA DESAMPARADOS,6898,54.6
LUNA,6874,10.9
ALEXIA,6862,11.1
GENOVEVA,6845,60.3
MARIONA,6762,15.7
ANGELICA,6752,40.7
FELIPA,6728,71.9
MARIA ELISA,6691,52.5
JUSTA,6687,71
MARISOL,6679,45.8
PATROCINIO,6656,69.4
FABIOLA,6636,36.8
MARIA SONIA,6627,42.7
INES MARIA,6601,42
LUZ MARIA,6581,39.2
SAMIRA,6580,27.2
JESICA,6577,27.5
JESUSA,6571,73.5
MARIA ANGELS,6558,53.3
AYA,6552,6.2
ANGELINA,6519,60.1
MARIA CINTA,6516,56.2
MARIAM,6490,15.3
INGRID,6487,26.6
YANIRA,6485,12.2
ALFONSA,6482,66.4
IDOIA,6463,35.1
MARIA OLGA,6462,54.3
SABINA,6458,53.1
MARIA VICENTA,6392,55.6
AUREA,6366,65.3
CORAL,6352,22.2
MARIA NATIVIDAD,6327,59.2
LILIANA,6316,38.1
PALMIRA,6265,66.5
ISIDORA,6249,68.4
LORENZA,6231,68.7
MIREYA,6211,20.6
MARIA ANGELA,6180,57.1
OBDULIA,6130,68.3
IRATXE,6024,27.1
ROSANA,6000,33.9
IZASKUN,5998,36.4
MAIDER,5992,22.5
DESAMPARADOS,5990,63
MIHAELA,5978,35
NAGORE,5947,21.6
CARMEN ROSA,5878,50.8
MALIKA,5878,44.4
MARIA BEATRIZ,5854,43.8
MARIA ANGUSTIAS,5842,54.5
REYES,5839,45.4
VEGA,5822,5.8
GRACIA,5806,58.9
MARIA ARACELI,5787,50.4
DIONISIA,5780,71
ALMA,5779,8.4
MARA,5774,10.8
MARIA FATIMA,5765,45.3
BRIGIDA,5752,64.2
JACINTA,5698,68.7
AMINA,5642,29.2
FATIHA,5635,38.6
DEBORA,5626,27.3
MODESTA,5609,70.1
GEORGINA,5579,33.4
EVANGELINA,5576,63
MARIA JUANA,5572,63.2
RUFINA,5519,71
NAHIA,5466,7.6
AZAHARA,5462,18.8
MARIA PIEDAD,5458,56.2
BIENVENIDA,5448,65.1
ANGUSTIAS,5427,66.8
TERESA JESUS,5374,52.7
MAIALEN,5369,15.5
CLOTILDE,5334,68.4
NAIA,5327,7.5
ANASTASIA,5324,51
OTILIA,5307,67.8
DAVINIA,5293,25.9
SOCORRO,5291,68.3
URSULA,5287,45.9
SONIA MARIA,5270,38.4
EMILIANA,5246,71
MARIA ALEJANDRA,5221,33.6
GERTRUDIS,5216,64.8
JOSEFA MARIA,5200,53.9
RACHIDA,5176,39.6
BALBINA,5164,69.3
DOMINGA,5161,67.6
OLGA MARIA,5064,42.3
MARIA NURIA,5045,49.7
MARIA AZUCENA,5003,50.7
KARIMA,4993,32.3
NAROA,4944,11.3
UXUE,4938,10.4
ANTIA,4922,13.1
JUNE,4915,12
SARAI,4875,22.5
MYRIAM,4770,31
MARIA RAQUEL,4750,47.4
MARIA CONSOLACION,4741,58.9
CRISTINA MARIA,4729,32.5
MARCELA,4717,49.7
LAILA,4691,24.8
ANAIS,4676,15.8
FELICIANA,4675,69.7
ERICA,4653,24
EUSEBIA,4624,72.2
MARIA ELVIRA,4614,52.8
FRANCESCA,4590,52
GLORIA MARIA,4586,42.3
IGNACIA,4582,70.5
MARIBEL,4579,43.8
LINA,4572,30.6
SAIDA,4565,35.5
FELICITAS,4556,71.9
ZOE,4534,7.6
ILUMINADA,4524,65.7
COVADONGA,4522,39.5
VICTORINA,4497,73.8
MARIA EVA,4480,48.2
MARIA LAURA,4476,42.1
MELANIA,4467,26.5
MARIA PRADO,4453,50.1
ENGRACIA,4448,70.4
MARIA SALUD,4446,53.3
PRESENTACION,4444,69
MINERVA,4431,24
YASMIN,4421,10.4
INOCENCIA,4419,70
MIREN,4412,34
ONA,4408,7.8
EIDER,4387,18
GUILLERMINA,4385,61.6
MARIA ALICIA,4374,53.6
SILVIA MARIA,4351,36
CAYETANA,4347,22.1
NICOLASA,4346,70
OLATZ,4304,26.6
SANDRA MARIA,4267,33.7
BOUCHRA,4265,31.3
SALUD,4264,61.8
FAUSTINA,4255,70.2
MARIA ALMUDENA,4248,43.1
MARIA MERCE,4240,52.4
OLIVA,4238,67
HANANE,4235,29.9
JULIA MARIA,4233,42.5
NICOLE,4214,17.1
MAITANE,4210,21.8
GEMA MARIA,4205,33.4
LUZ MARINA,4197,46.5
CINTIA,4174,21.2
MARIA FE,4170,53.7
SARA MARIA,4158,29.6
SATURNINA,4147,73
MARIA CELIA,4145,56.1
UXIA,4123,10.7
VICTORIA EUGENIA,4123,40.3
LATIFA,4098,38.6
FERMINA,4094,69.6
CELESTINA,4069,69.8
SAMARA,4062,12.9
MARIA EMILIA,4049,51.6
PAULA MARIA,4025,25.6
FRANCISCA MARIA,4021,47.2
SACRAMENTO,4016,63.8
ICIAR,4014,32.2
SERAFINA,4006,67.9
ANA CARMEN,4004,45.5
LORETO,3994,39.8
MALAK,3971,4.7
MARIA MARGARITA,3969,54.4
ALINA,3968,28
ELISA ISABEL,3965,40.6
RUT,3961,27
CAMILA,3940,36.3
CONCEPCIO,3893,68.8
SAIOA,3872,22.4
PASTORA,3856,57.7
CLARA ISABEL,3847,42.4
XENIA,3837,16.4
BASILISA,3823,73.1
PASCUALA,3775,69.8
PAZ,3769,55.1
MARIA FELISA,3758,57.8
GRACIELA,3696,39.9
BIBIANA,3672,45.1
SOUAD,3656,34.2
MARAVILLAS,3635,56.6
BENEDICTA,3626,70.7
SABRINA,3625,24.2
LUZ,3615,53
NICOLETA,3615,34.8
ZAIDA,3597,22.5
JACQUELINE,3596,41.2
OIHANE,3589,17.5
MARIA SANDRA,3564,39.4
HAIZEA,3540,11.3
HAFIDA,3518,40
CASILDA,3512,62.5
SARAH,3508,19.2
MARIA ADELA,3501,53.3
IOANA,3495,41.5
AMAL,3492,22.2
SALOME,3483,39.8
JERONIMA,3473,66.9
MARIA SUSANA,3468,45.9
MARIA EULALIA,3464,52.9
SIMONA,3455,46.1
THAIS,3442,19.8
MARIA VANESA,3404,34.7
NAJAT,3392,36.2
DESIRE,3388,20
CELSA,3374,68.5
CLEMENTINA,3373,68.9
ENCARNACIO,3359,68.3
CLARA MARIA,3352,36.1
HAJAR,3352,14
JANIRE,3343,21.6
TRIANA,3339,7.1
EVELYN,3324,21
MARIA CECILIA,3317,47.9
OFELIA,3301,64
IRUNE,3294,20.3
ZOHRA,3288,46.5
ANUNCIACION,3270,71.4
VICTORIANA,3266,72.5
ELISENDA,3243,38
LUCIANA,3239,53.5
IKRAM,3221,19.3
CYNTHIA,3216,20.9
IMAN,3194,12.6
MARIA ESTER,3194,44.3
AITZIBER,3171,31.5
NAYRA,3156,16.2
MARIA LORENA,3155,35.8
DINA,3152,22
MARIA AMOR,3134,53.4
YESICA,3132,27.1
KAREN,3127,23.8
ELOINA,3119,68.2
ROSA ISABEL,3117,46.1
BERNARDA,3116,67.3
ZAHRA,3109,39.3
NELIDA,3092,56.4
FLORINDA,3085,68.3
MARIA VIRGINIA,3079,44.7
IZARO,3077,9.9
YURENA,3076,27
MARIA OLIVA,3075,56
LIA,3073,11.8
NINA,3062,35.4
OLAYA,3059,21.6
SABELA,3059,14.2
MARIA CAMINO,3058,50.4
MARIA CLARA,3056,50.9
PRIMITIVA,3051,72.7
TERESA MARIA,3050,45.8
MARIYA,3033,44.3
HAYAT,3030,30.5
MARIA ESTELA,3015,41
SIHAM,3008,24.7
JAMILA,2996,36.4
HENAR,2992,22.9
BLANCA MARIA,2973,38.2
ISOLINA,2973,71
DAMARIS,2971,25.1
FATIMA ZAHRA,2954,17.5
DULCE MARIA,2948,45.4
NATALIYA,2946,41.4
MAXIMA,2944,70.6
OLALLA,2941,29.5
SUSANA MARIA,2941,40.7
GARAZI,2939,15.5
ADA,2938,16.9
LUCRECIA,2925,60.4
NEKANE,2916,28.7
ARIANA,2911,16.3
MELANIE,2904,20.7
DUNIA,2898,19.5
FIDELA,2898,72.2
MARIA VISITACION,2896,62.9
PAMELA,2894,32.2
MARIA GEMMA,2890,45.5
MARWA,2886,5.2
ALICIA MARIA,2883,37.1
CARMELA,2883,46.1
ANA TERESA,2876,45.1
MARIA AGUSTINA,2872,55.8
SONSOLES,2871,40.9
BELINDA,2870,33.9
SVETLANA,2864,42.8
FATNA,2863,47.6
MARIA CATALINA,2858,52.6
ARANCHA,2857,19.6
HANAN,2857,28.7
JONE,2852,22.8
ARANTZA,2845,43.3
MAXIMINA,2841,70.7
YESSICA,2838,25.6
JUSTINA,2836,69.4
MINA,2833,40.8
ELISA MARIA,2831,39.8
BRENDA,2823,24.7
IRYNA,2821,38.6
IMANE,2808,19.1
MELISA,2804,22.6
MARIA AMELIA,2803,57.5
MARIA LORETO,2801,50.5
MARIA LEONOR,2799,51.6
MARIA VIRTUDES,2788,53.4
MARIA ADORACION,2781,60.1
SIRA,2774,30.7
EDELMIRA,2765,69.4
BASILIA,2761,67
ELADIA,2761,69.5
CHLOE,2754,4.6
MARIA ANGELICA,2751,47.3
LUISA FERNANDA,2749,39.4
VIORICA,2744,46.1
ANNE,2739,25.1
CARMEN DOLORES,2732,48.9
IVET,2728,8.5
ESTHER MARIA,2726,37.2
MARIA LLANOS,2724,48.5
HALIMA,2712,35.6
FATIMA ZOHRA,2708,27.5
CRISTOBALINA,2706,61.1
MARIA GABRIELA,2689,37.1
MARIA SALOME,2687,51.6
ISIDRA,2677,70.1
LEILA,2667,23.2
MARIA SANTOS,2665,58.9
RITA MARIA,2657,44.1
MARIA O,2655,42.9
APOLONIA,2646,66.9
CARMEN DELIA,2646,47.8
OKSANA,2639,38.9
ARGENTINA,2632,68.9
DIANA MARIA,2620,32.4
JULIETA,2619,19.8
RAQUEL MARIA,2619,35.9
MARIA SIERRA,2618,51.2
MARIA IRENE,2615,48.6
RAHMA,2610,48
ARANTZAZU,2606,34.4
ANA LUISA,2605,45.7
FELICIA,2598,57.8
ANA LUCIA,2590,33.3
MIGUELA,2572,67
ANA PILAR,2570,41.3
BERNARDINA,2570,68.3
MARIA FLOR,2560,54.6
ABIGAIL,2555,21.5
MARIA COVADONGA,2550,52.2
LUCILA,2541,62.9
MARIA FUENSANTA,2541,48.8
PRUDENCIA,2541,70.8
DOROTEA,2530,69.8
ANGELITA,2525,67.3
CATERINA,2519,31.7
MICHELLE,2513,19.7
MARIA MONSERRAT,2510,48.6
ISABELLA,2509,9.9
GALA,2505,13.9
KARINA,2504,27.9
TEOFILA,2504,74.2
PATRICIA MARIA,2502,31.5
OLAIA,2483,17.9
OLIMPIA,2481,56
ALAZNE,2474,20.6
JARA,2469,14.1
NARCISA,2469,66.9
RODICA,2469,44.6
OLENA,2449,40.1
PRISCILA,2449,37.4
DOLORES MARIA,2444,46.8
MARIA ANA,2443,55.8
MELISSA,2430,19.8
NAOMI,2428,14.7
MARIA LLUISA,2425,59.7
MILAGROSA,2413,48.5
MARIA ALBA,2400,41.6
ANA VICTORIA,2398,35.4
ROSARIO MARIA,2391,43.9
SEGUNDA,2382,72.9
NANCY,2379,42
MALENA,2371,10.4
LUZ DIVINA,2370,54.3
MARIA VANESSA,2369,35.5
MARIA PAULA,2361,41.9
MARIA RITA,2359,55.9
HABIBA,2356,46
AMADA,2349,62.7
EDUARDA,2343,65.9
MARIA CARIDAD,2332,52.5
EMERITA,2324,69.2
MADDI,2322,10.3
DORINDA,2321,71.4
NAIRA,2321,14.9
LOUBNA,2319,26.5
ZURIÑE,2318,26.5
SELENE,2302,16.8
BENIGNA,2293,71.3
MARIA MATILDE,2288,55
ENARA,2274,12.7
GEORGETA,2271,44.9
MARIA HENAR,2271,48.9
LIBERTAD,2269,31.3
MARIA CELESTE,2265,39.6
MARIELA,2259,29.7
IRAIA,2240,10.2
SVITLANA,2238,43.4
CARMEN PILAR,2227,46.6
BRUNA,2222,15.5
MIRELA,2222,34.9
DAMIANA,2220,66.4
BIANCA,2216,16.5
YAMINA,2210,44.8
KATIA,2206,26.1
LIDIA MARIA,2206,32.3
MARGARIDA,2204,56.1
ITXASO,2194,25.9
MARISA,2194,41.8
ANGELS,2190,45.8
ROXANA,2188,31
MARIA NEUS,2180,48.3
RESURRECCION,2177,65.2
LOREA,2173,23.6
ANITA,2169,55.8
AZIZA,2164,34.2
TETYANA,2160,42.1
IMMACULADA,2148,44.9
NURIA MARIA,2148,36.4
ERNESTINA,2136,68.6
IONELA,2131,31.2
LUCIA MARIA,2127,29.7
MARIA CANDELAS,2124,64.4
ROSALINA,2122,62.1
YLENIA,2117,14.7
SANTIAGA,2113,68.5
ISAURA,2108,62.6
MIA,2105,5.6
ROSAURA,2101,59.4
IRMA,2100,43.7
BLANCA NIEVES,2096,58.2
MARIA JOAQUINA,2094,59.2
MARIA VERONICA,2091,37.1
ILHAM,2089,24.6
QUERALT,2077,11.7
MARIAN,2070,25.9
IDAIRA,2069,14.5
ZORAIDA,2063,33.5
CINTA,2056,52.6
FARAH,2056,16.5
LUZDIVINA,2056,67.1
DIGNA,2054,66.9
PETRONILA,2054,67.6
MARIA SONSOLES,2053,52.2
MARIA NOELIA,2051,36.5
MARIA CAROLINA,2046,39.7
MARIA RAMONA,2043,59.9
GUMERSINDA,2037,71.3
MAYA,2033,14.5
ALBINA,2029,67.1
MIRELLA,2028,22.7
MARGALIDA,2027,36.5
PLACIDA,2025,67.8
ANA BEATRIZ,2020,37.2
MARIA AFRICA,2018,52.6
DEBORAH,2015,30.3
MARIA ENGRACIA,2012,58.2
CATALINA MARIA,2011,41.4
VALERIANA,2011,72
EUFEMIA,2010,71.5
HILARIA,2000,71.4
JAIONE,1998,34.9
GINA,1997,22.4
MARIA SORAYA,1997,42
OIHANA,1996,27.5
SELENA,1984,11.9
HIBA,1983,7.5
GENEROSA,1978,72.9
ANA VANESA,1977,33.7
CELIA MARIA,1976,36
CLOE,1973,4.7
ROMINA,1973,26.7
MENCIA,1971,9.2
EDUVIGIS,1970,60.8
MERIEM,1969,27
MIRANDA,1965,11.3
MIRYAM,1960,27.1
CASIMIRA,1958,71.6
MARIOLA,1955,25.8
MARLENE,1955,39.7
NORMA,1952,43.1
ZINEB,1949,28.1
SANAE,1948,26.1
CARINA,1946,35.3
DARIA,1946,39.5
CONSTANZA,1939,52.1
SAADIA,1930,44.6
FE,1925,69.7
CONSTANTINA,1924,67.7
PAULA ANDREA,1924,28.8
MONICA MARIA,1921,37.6
GLADYS,1914,46.4
GEMMA MARIA,1906,36.8
ANA DOLORES,1900,48.7
CELESTE,1900,25.3
ANGELINES,1898,62.1
EULOGIA,1898,70.3
ANA JOSEFA,1895,57.6
CRESCENCIA,1895,73.2
RAIMUNDA,1894,72.4
SAMANTHA,1893,20.9
BLANCA ESTHER,1892,52.9
MARYAM,1888,16
DIVINA,1886,65.1
DANIELLA,1884,5.7
EKATERINA,1884,30.5
ILEANA,1884,44.4
NOURA,1884,27.5
ROGELIA,1883,70.1
ENCARNACION MARIA,1877,39.4
ENEDINA,1876,70.3
CORNELIA,1875,47.7
MARIA ESMERALDA,1875,45.4
MARIA JOSEFINA,1871,58
JANET,1867,35.3
DOMITILA,1860,70.9
ASMAE,1854,23.1
IRENE MARIA,1854,28.2
MARTHA,1847,43.8
MONIKA,1846,39.3
GINESA,1844,62.3
RABIA,1841,41.7
MISERICORDIA,1839,58.5
MARIA ANUNCIACION,1838,64.9
ELIANA,1837,28.6
ANTONINA,1835,66.7
MARIA AMALIA,1834,55
ANA PAULA,1830,32.1
AGNES,1825,34.9
AMIRA,1824,7.7
MARIA CORO,1813,56.9
CIPRIANA,1811,71.3
CAMELIA,1804,39.5
JULITA,1804,68.5
BLASA,1800,68.6
ARLET,1797,3.6
CLAUDIA MARIA,1795,25.7
SEVERINA,1792,72.2
IVANA,1776,26.7
AINTZANE,1773,31.3
KAOUTAR,1772,20.1
ROSA ELENA,1769,46.1
ERUNDINA,1765,72.4
FLORICA,1762,46.3
MARIA JULIANA,1762,55.2
FARIDA,1759,40.4
OLVIDO,1758,67.2
PURA,1749,68.8
RANIA,1745,8
MARIA ROSER,1741,56.5
MARIA EMMA,1740,50.5
MARIA MARTA,1740,50.1
JOVITA,1733,66.7
SILVANA,1728,34.1
ANDREEA,1726,21.6
MARGARITA MARIA,1722,50.6
YOLANDA MARIA,1722,41.2
CESAREA,1717,74.3
JOSUNE,1717,35.1
YARA,1715,14.1
BEATRIZ MARIA,1713,35.5
LENUTA,1711,42.2
GALINA,1707,48.8
ENERITZ,1704,21.1
ESPERANZA MACARENA,1700,31.9
IDOYA,1700,38.6
IULIANA,1699,37.9
GARBIÑE,1694,43.4
YOUSRA,1694,12.2
HAKIMA,1693,34.1
CLAUDIA PATRICIA,1690,38.6
CANDELAS,1688,67.1
LUCINDA,1688,65.9
FLOR MARIA,1686,46.3
PAOLA ANDREA,1686,31.2
HOUDA,1683,20.9
YOANA,1683,26.1
CORINA,1682,37.1
CLAUDINA,1681,68.2
DORA,1681,54.8
JOSEPA,1677,69.1
NABILA,1675,27.5
MARIA ICIAR,1673,55.4
FOUZIA,1667,36.3
MIREN EDURNE,1665,51.7
NEREIDA,1658,29.8
ALAITZ,1656,20.4
CUSTODIA,1655,62.9
MARIA MACARENA,1651,37.6
BLANCA ROSA,1648,53.2
SANDRA MILENA,1642,35.8
MARIA PETRA,1638,61.5
ANDREA MARIA,1636,23
LEOCADIA,1635,67.1
MARIA FELICIDAD,1635,56.2
DANA,1630,16.9
DOMINICA,1630,70.1
BENILDE,1629,70.9
MARIA MILAGROSA,1628,54
ALDARA,1625,12.5
SUSANNA,1624,38.8
MARTHA CECILIA,1618,45.7
MAYRA,1617,25.6
CHAIMAE,1612,15.1
MARIA LIDIA,1607,52.2
NOELIA MARIA,1607,29.8
ARRATE,1606,29.2
MARIA MILAGRO,1606,55.8
AGRIPINA,1605,71.4
CATHERINE,1602,41.3
ETELVINA,1602,70.4
LIDIA ESTHER,1600,42.4
CARLA MARIA,1599,18.9
MARIA PATRICIA,1596,38.9
JOANNA,1594,27.5
AINOHA,1593,14.3
LORENA MARIA,1592,27.6
MILENA,1591,24.9
